learner,tank,MAE,MSE,RMSE,R2,MaxE
RegressionTree (sklearn),1,0.023921,0.000858,0.029287,0.711792,0.061706
RegressionTree (sklearn),2,0.023921,0.000858,0.029287,0.711792,0.061706
RegressionTree (sklearn),3,0.023921,0.000858,0.029287,0.711792,0.061706
RegressionTree (sklearn),4,0.023921,0.000858,0.029287,0.711792,0.061706
MLP Neuronales Netz (PyTorch),1,0.065264,0.008277,0.09098,-1.781288,0.192562
MLP Neuronales Netz (PyTorch),2,0.064771,0.008029,0.089606,-1.697905,0.187084
MLP Neuronales Netz (PyTorch),3,0.064673,0.008445,0.091897,-1.837651,0.193717
MLP Neuronales Netz (PyTorch),4,0.064537,0.007785,0.088232,-1.615828,0.181044
