learner,tank,MAE,MSE,RMSE,R2,MaxE
Modell,1,0.070262,0.008571,0.092582,0.03471,0.289782
Modell,2,0.070262,0.008571,0.092582,0.03471,0.289782
Modell,3,0.070262,0.008571,0.092582,0.03471,0.289782
Modell,4,0.070262,0.008571,0.092582,0.03471,0.289782
