learner,tank,MAE,MSE,RMSE,R2,MaxE
RegressionTree (sklearn),1,0.063721,0.006011,0.077532,0.323039,0.214857
RegressionTree (sklearn),2,0.063721,0.006011,0.077532,0.323039,0.214857
RegressionTree (sklearn),3,0.063721,0.006011,0.077532,0.323039,0.214857
RegressionTree (sklearn),4,0.063721,0.006011,0.077532,0.323039,0.214857
MLP Neuronales Netz (PyTorch),1,0.08651,0.014675,0.121138,-0.652602,0.371163
MLP Neuronales Netz (PyTorch),2,0.079562,0.013846,0.11767,-0.559332,0.375966
MLP Neuronales Netz (PyTorch),3,0.086246,0.014526,0.120522,-0.635827,0.368409
MLP Neuronales Netz (PyTorch),4,0.078887,0.013573,0.116503,-0.528536,0.370921
