learner,tank,MAE,MSE,RMSE,R2,MaxE
Modell,1,0.28626,0.093445,0.305688,-9.523559,0.516501
Modell,2,0.28626,0.093445,0.305688,-9.523559,0.516501
Modell,3,0.28626,0.093445,0.305688,-9.523559,0.516501
Modell,4,0.28626,0.093445,0.305688,-9.523559,0.516501
